2019,10,38468
2017,3,13854
2017,8,10489
2020,6,16643
2019,5,36127
2018,10,20997
2017,10,8121
2021,8,40194
2021,6,23678
2021,5,18499
2019,3,26459
2021,10,30009
2020,11,23181
2020,3,24452
2018,1,8406
2018,3,8241
2020,9,32501
2018,8,15712
2022,2,22865
2019,8,38248
2022,7,40985
2021,11,32529
2019,6,35876
2017,7,10484
2021,9,32177
2019,1,22014
2019,2,26745
2022,3,24088
2020,12,17363
2018,5,9358
2021,12,29376
2021,7,36541
2017,12,9278
2020,4,18402
2017,9,14025
2021,3,20626
2021,2,21287
2020,1,45155
2019,4,26961
2017,4,12261
2020,8,21551
2019,9,52601
2022,1,30106
2018,9,11301
2022,5,28782
2021,1,18798
2019,12,36428
2018,7,12036
2020,7,19311
2020,2,26978
2020,10,25261
2022,6,28122
2018,12,23750
2018,11,22846
2018,6,9329
2017,2,10231
2017,11,9594
2017,5,13778
2019,7,32755
2018,2,8316
2019,11,30176
2020,5,16552
2017,6,19116
2022,4,27728
2021,4,20682
2022,8,32410
2018,4,8692
